time,alpha=0.0,alpha=0.5,alpha=1.0
8.901000000000000227e+02,3.193139999999999867e-01,3.424369999999999914e-01,3.350000000000000200e-01
9.001000000000000227e+02,3.165760000000000240e-01,3.399249999999999772e-01,3.322320000000000273e-01
9.101000000000000227e+02,3.140919999999999823e-01,3.368900000000000228e-01,3.292410000000000059e-01
9.201000000000000227e+02,3.115149999999999864e-01,3.342330000000000023e-01,3.265469999999999762e-01
9.301000000000000227e+02,3.091050000000000186e-01,3.314400000000000124e-01,3.238690000000000180e-01
9.401000000000000227e+02,3.063069999999999959e-01,3.287649999999999739e-01,3.213989999999999903e-01
9.501000000000000227e+02,3.041920000000000179e-01,3.264099999999999779e-01,3.187989999999999990e-01
9.601000000000000227e+02,3.015570000000000195e-01,3.234759999999999858e-01,3.164100000000000246e-01
9.701000000000000227e+02,2.991260000000000030e-01,3.211209999999999898e-01,3.136579999999999924e-01
9.801000000000000227e+02,2.966679999999999873e-01,3.182690000000000241e-01,3.113489999999999869e-01
9.901000000000000227e+02,2.945260000000000100e-01,3.158619999999999761e-01,3.087139999999999884e-01
1.000100000000000023e+03,2.918049999999999811e-01,3.135060000000000069e-01,3.061400000000000232e-01
1.100099999999999909e+03,2.715839999999999921e-01,2.907410000000000272e-01,2.839059999999999917e-01
1.200099999999999909e+03,2.530430000000000179e-01,2.710270000000000179e-01,2.643980000000000219e-01
1.300099999999999909e+03,2.373220000000000052e-01,2.546019999999999950e-01,2.480719999999999870e-01
1.400099999999999909e+03,2.242879999999999874e-01,2.397299999999999986e-01,2.337789999999999868e-01
1.500099999999999909e+03,2.120259999999999923e-01,2.266380000000000061e-01,2.215519999999999989e-01
1.600099999999999909e+03,2.016060000000000074e-01,2.154210000000000014e-01,2.106280000000000097e-01
1.700099999999999909e+03,1.928400000000000114e-01,2.061649999999999872e-01,2.011529999999999985e-01
1.800099999999999909e+03,1.852000000000000035e-01,1.971519999999999939e-01,1.932079999999999909e-01
1.900099999999999909e+03,1.782690000000000108e-01,1.905409999999999882e-01,1.857149999999999912e-01
2.000099999999999909e+03,1.724799999999999944e-01,1.846099999999999963e-01,1.796590000000000131e-01
2.100099999999999909e+03,1.672289999999999888e-01,1.786770000000000025e-01,1.742680000000000062e-01
2.200099999999999909e+03,1.624140000000000028e-01,1.741419999999999912e-01,1.696610000000000062e-01
2.300099999999999909e+03,1.583420000000000105e-01,1.699410000000000087e-01,1.653010000000000035e-01
2.400099999999999909e+03,1.549760000000000026e-01,1.659879999999999967e-01,1.612909999999999899e-01
